87.59071117561683,11,"{'transitiontime': 15, 'hue': 27000, 'bri': 0, 'sat': 255}",high,Unmodified
89.50943396226415,12,"{'transitiontime': 40, 'hue': 32401, 'bri': 229, 'sat': 255}",low,Safe
90.449773242630386,11,"{'transitiontime': 1, 'hue': 97, 'bri': 191, 'sat': 152}",beat,Unmodified
91.4310595065312,"[7, 8, 10, 11, 14, 15]","{'transitiontime': 62, 'hue': 13524, 'bri': 148, 'sat': 255}",arc,Safe
92.88679245283019,12,"{'transitiontime': 25, 'hue': 27001, 'bri': 0, 'sat': 255}",high,Unmodified
93.027188208616778,14,"{'transitiontime': 1, 'hue': 116, 'bri': 207, 'sat': 149}",beat,Unmodified
93.445147392290252,14,"{'transitiontime': 1, 'hue': 85, 'bri': 0, 'sat': 149}",beat,Unmodified
93.886326530612251,10,"{'transitiontime': 1, 'hue': 90, 'bri': 182, 'sat': 195}",beat,Unmodified
94.315895691609981,10,"{'transitiontime': 1, 'hue': 91, 'bri': 1, 'sat': 169}",beat,Unmodified
94.733854875283455,11,"{'transitiontime': 1, 'hue': 132, 'bri': 221, 'sat': 210}",beat,Unmodified
95.17503401360544,10,"{'transitiontime': 1, 'hue': 93, 'bri': 8, 'sat': 202}",beat,Unmodified
95.604603174603184,11,"{'transitiontime': 1, 'hue': 90, 'bri': 181, 'sat': 244}",beat,Unmodified
96.08708272859216,7,"{'transitiontime': 12, 'hue': 32401, 'bri': 229, 'sat': 255}",low,Unmodified
97.12046444121916,7,"{'transitiontime': 4, 'hue': 27001, 'bri': 0, 'sat': 255}",high,Unmodified
97.311269841269848,10,"{'transitiontime': 1, 'hue': 101, 'bri': 194, 'sat': 233}",beat,Unmodified
97.7010159651669,7,"{'transitiontime': 23, 'hue': 32402, 'bri': 229, 'sat': 255}",low,Unmodified
97.74310595065312,"[8, 10, 11, 12, 14, 15]","{'transitiontime': 67, 'hue': 10333, 'bri': 160, 'sat': 255}",arc,Safe
99.041156462585036,14,"{'transitiontime': 1, 'hue': 101, 'bri': 192, 'sat': 228}",beat,Unmodified
